Date,Monmean,Monmax,Monrang,Time,Reef,Coral ID,Genotype,Salinity,Temp,Depth,P_rate,R_rate,Healthy (Y/N),Algae growth (%),Mortality (%),Healthy tissue (%), White (%),Total (%),Pale (%) living tissue,Blotchy (Y/N) ,Disease (Y/N),Tumor (Y/N),Fish Bites (#),Boring (Y/N)
08/02/19,30.4277,32.27,2.73,2,Cary,B16,B,35.5,86.5,22.2,,,yes,0,0,80,20,100,5,yes,no,no,0,yes
08/02/19,30.4277,32.27,2.73,2,Cary,B2,B,35.5,86.5,22.2,3233.01,4957.85,no,0,5,80,15,100,80,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C1,C,35.5,86.5,22.2,1417.04,466.74,no,0,5,80,15,100,20,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C15,C,35.5,86.5,22.2,,,no,0,5,60,35,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C16,C,35.5,86.5,22.2,,,yes,0,5,85,10,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,C2,C,35.5,86.5,22.2,3632.49,3890.59,yes,0,5,75,20,100,20,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D1,D,35.5,86.5,22.2,1409.98,263.37,no,0,10,60,30,100,40,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D15,D,35.5,86.5,22.2,,,yes,0,0,98,2,100,5,no,no,no,2,no
08/02/19,30.4277,32.27,2.73,2,Cary,D16,D,35.5,86.5,22.2,,,no,0,5,55,40,100,10,yes,no,no,0,no
08/02/19,30.4277,32.27,2.73,2,Cary,D2,D,35.5,86.5,22.2,2264.64,1640.11,yes,0,0,95,5,100,20,yes,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,A1,A,35.5,79,22.2,,,yes,0,0,100,0,100,5,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,A15,A,35.5,79,22.2,,,yes,0,2,98,0,100,5,no,no,no,0,yes
12/16/19,25.4547043,26.59,3.64,3,Cary,A16,A,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,No ,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,A2,A,35.5,79,22.2,,,yes,0,0,100,0,100,5,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,B1,B,35.5,79,22.2,,,yes,0,0,100,0,100,8,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,B15,B,35.5,79,22.2,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA
12/16/19,25.4547043,26.59,3.64,3,Cary,B16,B,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,B2,B,35.5,79,22.2,,,yes,0,0,99,1,100,2,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,C1,C,35.5,79,22.2,,,yes,0,0,95,5,100,10,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,C15,C,35.5,79,22.2,,,yes,0,0,100,0,100,2,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,C16,C,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,C2,C,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,D1,D,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,D15,D,35.5,79,22.2,,,yes,0,0,100,0,100,0,no,no,no,0,yes
12/16/19,25.4547043,26.59,3.64,3,Cary,D16,D,35.5,79,22.2,,,yes,0,0,99,1,100,0,no,no,no,0,no
12/16/19,25.4547043,26.59,3.64,3,Cary,D2,D,35.5,79,22.2,,,yes,0,0,95,5,100,0,yes,no,no,2,no
02/05/19,24.7,,3.68,0,Conch,A13,A,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,A14,A,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,A3,A,36.5,76.5,26.8,874.83,7.24,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,A4,A,36.5,76.5,26.8,721.81,-178.28,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,B13,B,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,B14,B,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,B3,B,36.5,76.5,26.8,1028.42,225.21,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,B4,B,36.5,76.5,26.8,907.84,327.03,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,C13,C,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,C14,C,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,C3,C,36.5,76.5,26.8,654.24,780.88,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,C4,C,36.5,76.5,26.8,322.31,641.33,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,D13,D,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,D14,D,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,D3,D,36.5,76.5,26.8,959.19,137.32,yes,0,0,100,0,100,0,no,no,no,0,no
02/05/19,24.7,,3.68,0,Conch,D4,D,36.5,76.5,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,A13,A,36,81,26.8,,,yes,0,0,100,0,100,5,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,A14,A,36,81,26.8,,,yes,0,0,100,0,100,90,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,A3,A,36,81,26.8,1848.96,2336.89,yes,0,5,85,10,100,40,yes,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,A4,A,36,81,26.8,1947.13,2330.06,yes,0,0,100,0,100,40,no,no,no,0,no
05/27/19,27.63525538,29.59,3.72,1,Conch,B13,B,36,81,26.8,,,yes,0,0,100,0,100,0,no,no,no,0,no
